population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,16,Philippines,3,Both,14,45-49 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,32.44480330689038,41.86653648233198,23.650018064843053
1,All Population,1,Deaths,16,Philippines,3,Both,15,50-54 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,2863.1244871423014,3739.6785644622414,2116.6455357333275
1,All Population,1,Deaths,16,Philippines,3,Both,15,50-54 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.06750861641079754,0.08751790104447522,0.049880625580176155
1,All Population,1,Deaths,16,Philippines,3,Both,15,50-54 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,53.84657794919043,70.33186794026541,39.807601570418825
1,All Population,1,Deaths,16,Philippines,3,Both,16,55-59 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,3649.42651643111,4732.144303913941,2676.6055358002977
1,All Population,1,Deaths,16,Philippines,3,Both,16,55-59 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07114784234055467,0.09182719557605624,0.052064954839654974
1,All Population,1,Deaths,16,Philippines,3,Both,16,55-59 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,82.20126405057252,106.58886860718233,60.28902278671154
1,All Population,1,Deaths,16,Philippines,3,Both,17,60-64 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,4540.601412207785,5793.749071809758,3387.1124226549828
1,All Population,1,Deaths,16,Philippines,3,Both,17,60-64 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07532873769849185,0.09662913838021774,0.05596238299294226
1,All Population,1,Deaths,16,Philippines,3,Both,17,60-64 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,122.60515615032268,156.44260421872858,91.45868790900782
1,All Population,1,Deaths,16,Philippines,3,Both,18,65-69 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,5303.676627649706,6858.399949043519,3974.426717561724
1,All Population,1,Deaths,16,Philippines,3,Both,18,65-69 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07780215574800256,0.0998444170625166,0.057626015913342696
1,All Population,1,Deaths,16,Philippines,3,Both,18,65-69 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,191.95661175776098,248.2269015864567,143.8469084644685
1,All Population,1,Deaths,16,Philippines,3,Both,19,70-74 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,5392.883787598005,6959.385472099337,4059.227951365214
1,All Population,1,Deaths,16,Philippines,3,Both,19,70-74 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07984868606377768,0.10255078875977301,0.059432260749543345
1,All Population,1,Deaths,16,Philippines,3,Both,19,70-74 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,295.0360011506283,380.7367896330089,222.07383464924806
1,All Population,1,Deaths,16,Philippines,3,Both,20,75-79 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,4805.275574958405,6146.317340892387,3529.3946587750042
1,All Population,1,Deaths,16,Philippines,3,Both,20,75-79 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.0808334479274467,0.1041530394355154,0.0602686082831489
1,All Population,1,Deaths,16,Philippines,3,Both,20,75-79 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,454.1753057409808,580.9251756607224,333.58417706222747
1,All Population,1,Deaths,16,Philippines,3,Both,21,80+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,10112.81805199374,13530.42677556547,7377.394190412628
1,All Population,1,Deaths,16,Philippines,3,Both,21,80+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.08148298328727092,0.10886913946177637,0.059609936429346026
1,All Population,1,Deaths,16,Philippines,3,Both,21,80+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,1025.1011829293973,1371.5322892057047,747.8207827577285
1,All Population,1,Deaths,16,Philippines,3,Both,22,All ages,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,43951.31794236475,56745.70653623763,32917.358086113934
1,All Population,1,Deaths,16,Philippines,3,Both,22,All ages,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.06638437503921911,0.08550822608696185,0.049665667494920476
1,All Population,1,Deaths,16,Philippines,3,Both,22,All ages,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,38.381582902420405,49.55460135764568,28.745902681863118
1,All Population,1,Deaths,16,Philippines,3,Both,23,5-14 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,117.79869978990237,188.62204069253477,48.75661593682983
1,All Population,1,Deaths,16,Philippines,3,Both,23,5-14 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.009828042794869447,0.015587303801506849,0.004007059494806655
1,All Population,1,Deaths,16,Philippines,3,Both,23,5-14 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,0.5105881518039875,0.8175657228684736,0.21133128348447805
1,All Population,1,Deaths,16,Philippines,3,Both,24,15-49 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,5101.827377219699,6634.894897124611,3689.3684932778315
1,All Population,1,Deaths,16,Philippines,3,Both,24,15-49 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.041326590903012834,0.0535595938916323,0.03007738148142117
1,All Population,1,Deaths,16,Philippines,3,Both,24,15-49 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,8.32568459926829,10.827501241889902,6.020689485234651
1,All Population,1,Deaths,16,Philippines,3,Both,25,50-69 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,16356.829043430902,20886.041269891546,12100.034590299549
1,All Population,1,Deaths,16,Philippines,3,Both,25,50-69 years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07363019114647261,0.09457586732837854,0.0544992017169205
1,All Population,1,Deaths,16,Philippines,3,Both,25,50-69 years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,100.82367287707825,128.7417865101683,74.58474537420491
1,All Population,1,Deaths,16,Philippines,3,Both,26,70+ years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,20310.977414550147,26807.182511982617,14934.438448372324
1,All Population,1,Deaths,16,Philippines,3,Both,26,70+ years,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.08088950638745525,0.1062684333187494,0.05975697037143612
1,All Population,1,Deaths,16,Philippines,3,Both,26,70+ years,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,524.5042398013774,692.2601801817626,385.66220252958044
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.07075315946538842,0.09182451852187881,0.05253569592412999
1,All Population,1,Deaths,16,Philippines,3,Both,27,Age-standardized,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,59.42826637274793,77.29817752692749,44.0501647768386
1,All Population,1,Deaths,16,Philippines,3,Both,28,<1 year,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,1844.2375106500526,2168.741555706865,1458.2748147204761
1,All Population,1,Deaths,16,Philippines,3,Both,28,<1 year,294,All causes,86,Ambient particulate matter pollution,2,Percent,2023,0.04602201706839948,0.0541196261312312,0.03781059903338894
1,All Population,1,Deaths,16,Philippines,3,Both,28,<1 year,294,All causes,86,Ambient particulate matter pollution,3,Rate,2023,94.73700370325109,111.40651657278995,74.91040916624452
1,All Population,1,Deaths,16,Philippines,3,Both,30,80-84 years,294,All causes,86,Ambient particulate matter pollution,1,Number,2023,4302.94815870208,5666.058355929587,3149.474506095941
